Index,Patch,Oracle,Predicted value,tool_patch_uid
55,correct/patch1-Closure-103-dev.patch,correct,Correct,llm4pc-defects4j-Closure-103-dev-patch1
56,correct/patch1-Closure-104-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-104-dev-patch1
57,correct/patch1-Closure-105-dev.patch,correct,Correct,llm4pc-defects4j-Closure-105-dev-patch1
58,correct/patch1-Closure-106-dev.patch,correct,Correct,llm4pc-defects4j-Closure-106-dev-patch1
59,correct/patch1-Closure-107-dev.patch,correct,Correct,llm4pc-defects4j-Closure-107-dev-patch1
60,correct/patch1-Closure-108-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-108-dev-patch1
61,correct/patch1-Closure-109-dev.patch,correct,Correct,llm4pc-defects4j-Closure-109-dev-patch1
62,correct/patch1-Closure-11-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-11-dev-patch1
63,correct/patch1-Closure-110-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-110-dev-patch1
64,correct/patch1-Closure-111-dev.patch,correct,Correct,llm4pc-defects4j-Closure-111-dev-patch1
65,correct/patch1-Closure-112-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-112-dev-patch1
66,correct/patch1-Closure-113-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-113-dev-patch1
67,correct/patch1-Closure-114-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-114-dev-patch1
68,correct/patch1-Closure-115-AVATAR.patch,correct,Overfitting,llm4pc-defects4j-Closure-115-AVATAR-patch1
69,correct/patch1-Closure-115-Arja.patch,correct,Overfitting,llm4pc-defects4j-Closure-115-Arja-patch1
70,correct/patch1-Closure-115-Kali.patch,correct,Overfitting,llm4pc-defects4j-Closure-115-Kali-patch1
71,correct/patch1-Closure-115-RSRepair.patch,correct,Overfitting,llm4pc-defects4j-Closure-115-RSRepair-patch1
72,correct/patch1-Closure-115-SimFix.patch,correct,Overfitting,llm4pc-defects4j-Closure-115-SimFix-patch1
73,correct/patch1-Closure-115-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-115-dev-patch1
74,correct/patch1-Closure-116-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-116-dev-patch1
75,correct/patch1-Closure-117-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-117-dev-patch1
76,correct/patch1-Closure-118-dev.patch,correct,Correct,llm4pc-defects4j-Closure-118-dev-patch1
77,correct/patch1-Closure-119-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-119-dev-patch1
78,correct/patch1-Closure-12-dev.patch,correct,Correct,llm4pc-defects4j-Closure-12-dev-patch1
79,correct/patch1-Closure-120-dev.patch,correct,Correct,llm4pc-defects4j-Closure-120-dev-patch1
80,correct/patch1-Closure-121-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-121-dev-patch1
81,correct/patch1-Closure-122-dev.patch,correct,Correct,llm4pc-defects4j-Closure-122-dev-patch1
82,correct/patch1-Closure-123-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-123-dev-patch1
83,correct/patch1-Closure-124-dev.patch,correct,Correct,llm4pc-defects4j-Closure-124-dev-patch1
84,correct/patch1-Closure-125-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-125-dev-patch1
85,correct/patch1-Closure-126-Arja.patch,correct,Correct,llm4pc-defects4j-Closure-126-Arja-patch1
86,correct/patch1-Closure-126-GenProg.patch,correct,Correct,llm4pc-defects4j-Closure-126-GenProg-patch1
87,correct/patch1-Closure-126-RSRepair.patch,correct,Correct,llm4pc-defects4j-Closure-126-RSRepair-patch1
88,correct/patch1-Closure-126-SketchFix.patch,correct,Correct,llm4pc-defects4j-Closure-126-SketchFix-patch1
89,correct/patch1-Closure-126-dev.patch,correct,Correct,llm4pc-defects4j-Closure-126-dev-patch1
90,correct/patch1-Closure-126-jKali.patch,correct,Correct,llm4pc-defects4j-Closure-126-jKali-patch1
91,correct/patch1-Closure-127-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-127-dev-patch1
92,correct/patch1-Closure-128-dev.patch,correct,Correct,llm4pc-defects4j-Closure-128-dev-patch1
93,correct/patch1-Closure-129-dev.patch,correct,Correct,llm4pc-defects4j-Closure-129-dev-patch1
94,correct/patch1-Closure-13-dev.patch,correct,Correct,llm4pc-defects4j-Closure-13-dev-patch1
95,correct/patch1-Closure-130-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-130-dev-patch1
96,correct/patch1-Closure-131-dev.patch,correct,Correct,llm4pc-defects4j-Closure-131-dev-patch1
97,correct/patch1-Closure-132-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-132-dev-patch1
98,correct/patch1-Closure-133-dev.patch,correct,Correct,llm4pc-defects4j-Closure-133-dev-patch1
99,correct/patch1-Closure-14-dev.patch,correct,Correct,llm4pc-defects4j-Closure-14-dev-patch1
100,correct/patch1-Closure-15-dev.patch,correct,Correct,llm4pc-defects4j-Closure-15-dev-patch1
101,correct/patch1-Closure-16-dev.patch,correct,Correct,llm4pc-defects4j-Closure-16-dev-patch1
102,correct/patch1-Closure-17-dev.patch,correct,Correct,llm4pc-defects4j-Closure-17-dev-patch1
103,correct/patch1-Closure-18-Jaid.patch,correct,Correct,llm4pc-defects4j-Closure-18-Jaid-patch1
104,correct/patch1-Closure-18-SequenceR.patch,correct,Correct,llm4pc-defects4j-Closure-18-SequenceR-patch1
105,correct/patch1-Closure-18-dev.patch,correct,Correct,llm4pc-defects4j-Closure-18-dev-patch1
106,correct/patch1-Closure-19-SimFix.patch,correct,Correct,llm4pc-defects4j-Closure-19-SimFix-patch1
107,correct/patch1-Closure-19-dev.patch,correct,Correct,llm4pc-defects4j-Closure-19-dev-patch1
108,correct/patch1-Closure-2-AVATAR.patch,correct,Overfitting,llm4pc-defects4j-Closure-2-AVATAR-patch1
109,correct/patch1-Closure-2-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-2-dev-patch1
110,correct/patch1-Closure-20-dev.patch,correct,Correct,llm4pc-defects4j-Closure-20-dev-patch1
111,correct/patch1-Closure-21-dev.patch,correct,Correct,llm4pc-defects4j-Closure-21-dev-patch1
112,correct/patch1-Closure-22-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-22-dev-patch1
113,correct/patch1-Closure-23-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-23-dev-patch1
114,correct/patch1-Closure-24-dev.patch,correct,Correct,llm4pc-defects4j-Closure-24-dev-patch1
115,correct/patch1-Closure-25-dev.patch,correct,Correct,llm4pc-defects4j-Closure-25-dev-patch1
116,correct/patch1-Closure-26-dev.patch,correct,Correct,llm4pc-defects4j-Closure-26-dev-patch1
117,correct/patch1-Closure-27-dev.patch,correct,Correct,llm4pc-defects4j-Closure-27-dev-patch1
118,correct/patch1-Closure-28-dev.patch,correct,Correct,llm4pc-defects4j-Closure-28-dev-patch1
119,correct/patch1-Closure-29-dev.patch,correct,Correct,llm4pc-defects4j-Closure-29-dev-patch1
120,correct/patch1-Closure-3-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-3-dev-patch1
121,correct/patch1-Closure-30-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-30-dev-patch1
122,correct/patch1-Closure-31-Jaid.patch,correct,Correct,llm4pc-defects4j-Closure-31-Jaid-patch1
123,correct/patch1-Closure-31-dev.patch,correct,Correct,llm4pc-defects4j-Closure-31-dev-patch1
124,correct/patch1-Closure-32-dev.patch,correct,Correct,llm4pc-defects4j-Closure-32-dev-patch1
125,correct/patch1-Closure-33-Jaid.patch,correct,Overfitting,llm4pc-defects4j-Closure-33-Jaid-patch1
126,correct/patch1-Closure-33-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-33-dev-patch1
127,correct/patch1-Closure-34-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-34-dev-patch1
128,correct/patch1-Closure-35-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-35-dev-patch1
129,correct/patch1-Closure-36-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-36-dev-patch1
130,correct/patch1-Closure-37-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-37-dev-patch1
131,correct/patch1-Closure-38-AVATAR.patch,correct,Correct,llm4pc-defects4j-Closure-38-AVATAR-patch1
132,correct/patch1-Closure-38-dev.patch,correct,Correct,llm4pc-defects4j-Closure-38-dev-patch1
133,correct/patch1-Closure-39-dev.patch,correct,Correct,llm4pc-defects4j-Closure-39-dev-patch1
134,correct/patch1-Closure-4-dev.patch,correct,Correct,llm4pc-defects4j-Closure-4-dev-patch1
135,correct/patch1-Closure-40-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-40-dev-patch1
136,correct/patch1-Closure-40-kPAR.patch,correct,Overfitting,llm4pc-defects4j-Closure-40-kPAR-patch1
137,correct/patch1-Closure-41-dev.patch,correct,Correct,llm4pc-defects4j-Closure-41-dev-patch1
138,correct/patch1-Closure-42-dev.patch,correct,Correct,llm4pc-defects4j-Closure-42-dev-patch1
139,correct/patch1-Closure-43-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-43-dev-patch1
140,correct/patch1-Closure-44-dev.patch,correct,Correct,llm4pc-defects4j-Closure-44-dev-patch1
141,correct/patch1-Closure-45-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-45-dev-patch1
142,correct/patch1-Closure-46-AVATAR.patch,correct,Correct,llm4pc-defects4j-Closure-46-AVATAR-patch1
143,correct/patch1-Closure-46-dev.patch,correct,Correct,llm4pc-defects4j-Closure-46-dev-patch1
144,correct/patch1-Closure-47-dev.patch,correct,Correct,llm4pc-defects4j-Closure-47-dev-patch1
145,correct/patch1-Closure-48-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-48-dev-patch1
146,correct/patch1-Closure-49-dev.patch,correct,Correct,llm4pc-defects4j-Closure-49-dev-patch1
147,correct/patch1-Closure-5-dev.patch,correct,Correct,llm4pc-defects4j-Closure-5-dev-patch1
148,correct/patch1-Closure-50-dev.patch,correct,Correct,llm4pc-defects4j-Closure-50-dev-patch1
149,correct/patch1-Closure-51-dev.patch,correct,Correct,llm4pc-defects4j-Closure-51-dev-patch1
150,correct/patch1-Closure-52-dev.patch,correct,Correct,llm4pc-defects4j-Closure-52-dev-patch1
151,correct/patch1-Closure-53-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-53-dev-patch1
152,correct/patch1-Closure-54-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-54-dev-patch1
153,correct/patch1-Closure-55-dev.patch,correct,Correct,llm4pc-defects4j-Closure-55-dev-patch1
154,correct/patch1-Closure-56-dev.patch,correct,Correct,llm4pc-defects4j-Closure-56-dev-patch1
155,correct/patch1-Closure-57-dev.patch,correct,Correct,llm4pc-defects4j-Closure-57-dev-patch1
156,correct/patch1-Closure-58-dev.patch,correct,Correct,llm4pc-defects4j-Closure-58-dev-patch1
157,correct/patch1-Closure-59-dev.patch,correct,Correct,llm4pc-defects4j-Closure-59-dev-patch1
158,correct/patch1-Closure-6-SimFix.patch,correct,Correct,llm4pc-defects4j-Closure-6-SimFix-patch1
159,correct/patch1-Closure-6-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-6-dev-patch1
160,correct/patch1-Closure-60-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-60-dev-patch1
161,correct/patch1-Closure-61-dev.patch,correct,Correct,llm4pc-defects4j-Closure-61-dev-patch1
162,correct/patch1-Closure-62-AVATAR.patch,correct,Overfitting,llm4pc-defects4j-Closure-62-AVATAR-patch1
163,correct/patch1-Closure-62-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-62-dev-patch1
164,correct/patch1-Closure-64-dev.patch,correct,Correct,llm4pc-defects4j-Closure-64-dev-patch1
165,correct/patch1-Closure-65-dev.patch,correct,Correct,llm4pc-defects4j-Closure-65-dev-patch1
166,correct/patch1-Closure-66-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-66-dev-patch1
167,correct/patch1-Closure-67-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-67-dev-patch1
168,correct/patch1-Closure-68-SimFix.patch,correct,Overfitting,llm4pc-defects4j-Closure-68-SimFix-patch1
169,correct/patch1-Closure-68-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-68-dev-patch1
170,correct/patch1-Closure-69-dev.patch,correct,Correct,llm4pc-defects4j-Closure-69-dev-patch1
171,correct/patch1-Closure-7-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-7-dev-patch1
172,correct/patch1-Closure-70-Jaid.patch,correct,Overfitting,llm4pc-defects4j-Closure-70-Jaid-patch1
173,correct/patch1-Closure-70-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-70-dev-patch1
174,correct/patch1-Closure-71-dev.patch,correct,Correct,llm4pc-defects4j-Closure-71-dev-patch1
175,correct/patch1-Closure-72-dev.patch,correct,Correct,llm4pc-defects4j-Closure-72-dev-patch1
176,correct/patch1-Closure-73-AVATAR.patch,correct,Correct,llm4pc-defects4j-Closure-73-AVATAR-patch1
177,correct/patch1-Closure-73-SequenceR.patch,correct,Correct,llm4pc-defects4j-Closure-73-SequenceR-patch1
178,correct/patch1-Closure-73-dev.patch,correct,Correct,llm4pc-defects4j-Closure-73-dev-patch1
179,correct/patch1-Closure-74-dev.patch,correct,Correct,llm4pc-defects4j-Closure-74-dev-patch1
180,correct/patch1-Closure-75-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-75-dev-patch1
181,correct/patch1-Closure-76-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-76-dev-patch1
182,correct/patch1-Closure-77-dev.patch,correct,Correct,llm4pc-defects4j-Closure-77-dev-patch1
183,correct/patch1-Closure-78-dev.patch,correct,Correct,llm4pc-defects4j-Closure-78-dev-patch1
184,correct/patch1-Closure-79-dev.patch,correct,Correct,llm4pc-defects4j-Closure-79-dev-patch1
185,correct/patch1-Closure-8-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-8-dev-patch1
186,correct/patch1-Closure-80-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-80-dev-patch1
187,correct/patch1-Closure-81-dev.patch,correct,Correct,llm4pc-defects4j-Closure-81-dev-patch1
188,correct/patch1-Closure-82-dev.patch,correct,Correct,llm4pc-defects4j-Closure-82-dev-patch1
189,correct/patch1-Closure-83-dev.patch,correct,Correct,llm4pc-defects4j-Closure-83-dev-patch1
190,correct/patch1-Closure-84-dev.patch,correct,Correct,llm4pc-defects4j-Closure-84-dev-patch1
191,correct/patch1-Closure-85-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-85-dev-patch1
192,correct/patch1-Closure-86-SequenceR.patch,correct,Overfitting,llm4pc-defects4j-Closure-86-SequenceR-patch1
193,correct/patch1-Closure-86-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-86-dev-patch1
194,correct/patch1-Closure-87-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-87-dev-patch1
195,correct/patch1-Closure-88-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-88-dev-patch1
196,correct/patch1-Closure-89-dev.patch,correct,Correct,llm4pc-defects4j-Closure-89-dev-patch1
197,correct/patch1-Closure-9-dev.patch,correct,Correct,llm4pc-defects4j-Closure-9-dev-patch1
198,correct/patch1-Closure-90-dev.patch,correct,Correct,llm4pc-defects4j-Closure-90-dev-patch1
199,correct/patch1-Closure-91-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-91-dev-patch1
200,correct/patch1-Closure-92-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-92-dev-patch1
201,correct/patch1-Closure-94-dev.patch,correct,Correct,llm4pc-defects4j-Closure-94-dev-patch1
202,correct/patch1-Closure-95-dev.patch,correct,Correct,llm4pc-defects4j-Closure-95-dev-patch1
203,correct/patch1-Closure-96-dev.patch,correct,Correct,llm4pc-defects4j-Closure-96-dev-patch1
204,correct/patch1-Closure-97-dev.patch,correct,Correct,llm4pc-defects4j-Closure-97-dev-patch1
205,correct/patch1-Closure-98-dev.patch,correct,Correct,llm4pc-defects4j-Closure-98-dev-patch1
206,correct/patch1-Closure-99-dev.patch,correct,Overfitting,llm4pc-defects4j-Closure-99-dev-patch1
207,correct/patch1-Lang-1-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-1-dev-patch1
208,correct/patch1-Lang-10-AVATAR.patch,correct,Correct,llm4pc-defects4j-Lang-10-AVATAR-patch1
209,correct/patch1-Lang-10-dev.patch,correct,Correct,llm4pc-defects4j-Lang-10-dev-patch1
210,correct/patch1-Lang-10-jKali.patch,correct,Correct,llm4pc-defects4j-Lang-10-jKali-patch1
211,correct/patch1-Lang-11-dev.patch,correct,Correct,llm4pc-defects4j-Lang-11-dev-patch1
212,correct/patch1-Lang-12-dev.patch,correct,Correct,llm4pc-defects4j-Lang-12-dev-patch1
213,correct/patch1-Lang-13-dev.patch,correct,Correct,llm4pc-defects4j-Lang-13-dev-patch1
214,correct/patch1-Lang-14-dev.patch,correct,Correct,llm4pc-defects4j-Lang-14-dev-patch1
215,correct/patch1-Lang-15-dev.patch,correct,Correct,llm4pc-defects4j-Lang-15-dev-patch1
216,correct/patch1-Lang-16-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-16-dev-patch1
217,correct/patch1-Lang-17-dev.patch,correct,Correct,llm4pc-defects4j-Lang-17-dev-patch1
218,correct/patch1-Lang-18-dev.patch,correct,Correct,llm4pc-defects4j-Lang-18-dev-patch1
219,correct/patch1-Lang-19-dev.patch,correct,Correct,llm4pc-defects4j-Lang-19-dev-patch1
220,correct/patch1-Lang-2-dev.patch,correct,Correct,llm4pc-defects4j-Lang-2-dev-patch1
221,correct/patch1-Lang-20-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-20-dev-patch1
222,correct/patch1-Lang-21-dev.patch,correct,Correct,llm4pc-defects4j-Lang-21-dev-patch1
223,correct/patch1-Lang-22-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-22-dev-patch1
224,correct/patch1-Lang-23-dev.patch,correct,Correct,llm4pc-defects4j-Lang-23-dev-patch1
225,correct/patch1-Lang-24-ACS.patch,correct,Correct,llm4pc-defects4j-Lang-24-ACS-patch1
226,correct/patch1-Lang-24-dev.patch,correct,Correct,llm4pc-defects4j-Lang-24-dev-patch1
227,correct/patch1-Lang-26-CapGen.patch,correct,Correct,llm4pc-defects4j-Lang-26-CapGen-patch1
228,correct/patch1-Lang-26-dev.patch,correct,Correct,llm4pc-defects4j-Lang-26-dev-patch1
229,correct/patch1-Lang-27-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-27-dev-patch1
230,correct/patch1-Lang-28-dev.patch,correct,Correct,llm4pc-defects4j-Lang-28-dev-patch1
231,correct/patch1-Lang-29-dev.patch,correct,Correct,llm4pc-defects4j-Lang-29-dev-patch1
232,correct/patch1-Lang-3-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-3-dev-patch1
233,correct/patch1-Lang-30-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-30-dev-patch1
234,correct/patch1-Lang-31-dev.patch,correct,Correct,llm4pc-defects4j-Lang-31-dev-patch1
235,correct/patch1-Lang-32-dev.patch,correct,Correct,llm4pc-defects4j-Lang-32-dev-patch1
236,correct/patch1-Lang-33-Jaid.patch,correct,Correct,llm4pc-defects4j-Lang-33-Jaid-patch1
237,correct/patch1-Lang-33-SimFix.patch,correct,Correct,llm4pc-defects4j-Lang-33-SimFix-patch1
238,correct/patch1-Lang-33-TBar.patch,correct,Correct,llm4pc-defects4j-Lang-33-TBar-patch1
239,correct/patch1-Lang-33-dev.patch,correct,Correct,llm4pc-defects4j-Lang-33-dev-patch1
240,correct/patch1-Lang-34-dev.patch,correct,Correct,llm4pc-defects4j-Lang-34-dev-patch1
241,correct/patch1-Lang-35-ACS.patch,correct,Correct,llm4pc-defects4j-Lang-35-ACS-patch1
242,correct/patch1-Lang-35-dev.patch,correct,Correct,llm4pc-defects4j-Lang-35-dev-patch1
243,correct/patch1-Lang-36-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-36-dev-patch1
244,correct/patch1-Lang-37-dev.patch,correct,Correct,llm4pc-defects4j-Lang-37-dev-patch1
245,correct/patch1-Lang-38-Jaid.patch,correct,Correct,llm4pc-defects4j-Lang-38-Jaid-patch1
246,correct/patch1-Lang-38-dev.patch,correct,Correct,llm4pc-defects4j-Lang-38-dev-patch1
247,correct/patch1-Lang-39-SimFix.patch,correct,Overfitting,llm4pc-defects4j-Lang-39-SimFix-patch1
248,correct/patch1-Lang-39-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-39-dev-patch1
249,correct/patch1-Lang-4-dev.patch,correct,Correct,llm4pc-defects4j-Lang-4-dev-patch1
250,correct/patch1-Lang-40-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-40-dev-patch1
251,correct/patch1-Lang-41-dev.patch,correct,Correct,llm4pc-defects4j-Lang-41-dev-patch1
252,correct/patch1-Lang-42-dev.patch,correct,Correct,llm4pc-defects4j-Lang-42-dev-patch1
253,correct/patch1-Lang-43-SimFix.patch,correct,Correct,llm4pc-defects4j-Lang-43-SimFix-patch1
254,correct/patch1-Lang-43-dev.patch,correct,Correct,llm4pc-defects4j-Lang-43-dev-patch1
255,correct/patch1-Lang-44-Nopol2015.patch,correct,Overfitting,llm4pc-defects4j-Lang-44-Nopol-patch1
256,correct/patch1-Lang-44-dev.patch,correct,Overfitting,llm4pc-defects4j-Lang-44-dev-patch1
257,correct/patch1-Lang-45-Jaid.patch,correct,Correct,llm4pc-defects4j-Lang-45-Jaid-patch1
