uid,inferred_label,gt_correctness
aprenfl-defects4j-Lang-60-TBar-Patch_3262_1865,Overfitting,Overfitting
aprenfl-defects4j-Lang-63-TBar-Patch_28_21,Unknown,Overfitting
aprenfl-defects4j-Lang-7-TBar-Patch_1504_1083,Correct,Correct
aprenfl-defects4j-Math-11-TBar-Patch_31_8,Unknown,Correct
aprenfl-defects4j-Math-15-TBar-Patch_1163_932,Overfitting,Overfitting
aprenfl-defects4j-Math-2-TBar-Patch_468_285,Overfitting,Overfitting
aprenfl-defects4j-Math-5-TBar-Patch_2_2,Correct,Correct
aprenfl-defects4j-Math-50-TBar-Patch_1_1,Overfitting,Overfitting
aprenfl-defects4j-Math-57-TBar-Patch_16_7,Correct,Correct
aprenfl-defects4j-Math-6-TBar-Patch_5_2,Overfitting,Overfitting
aprenfl-defects4j-Math-62-TBar-Patch_261_142,Overfitting,Overfitting
aprenfl-defects4j-Math-63-TBar-Patch_611_159,Overfitting,Overfitting
aprenfl-defects4j-Math-65-TBar-Patch_137_80,Unknown,Correct
aprenfl-defects4j-Math-70-TBar-Patch_28_28,Correct,Correct
aprenfl-defects4j-Math-75-TBar-Patch_3_1,Correct,Correct
aprenfl-defects4j-Math-79-TBar-Patch_293_124,Correct,Correct
aprenfl-defects4j-Math-8-TBar-Patch_47_16,Overfitting,Overfitting
aprenfl-defects4j-Math-80-TBar-Patch_931_596,Overfitting,Overfitting
aprenfl-defects4j-Math-81-TBar-Patch_75_45,Unknown,Overfitting
aprenfl-defects4j-Math-82-TBar-Patch_1326_709,Overfitting,Overfitting
aprenfl-defects4j-Math-84-TBar-Patch_114_72,Unknown,Overfitting
aprenfl-defects4j-Math-85-TBar-Patch_3_1,Overfitting,Overfitting
aprenfl-defects4j-Math-88-TBar-Patch_593_301,Unknown,Overfitting
aprenfl-defects4j-Math-89-TBar-Patch_14_12,Correct,Correct
aprenfl-defects4j-Math-96-TBar-Patch_439_157,Correct,Overfitting
wangicse-defects4j-Chart-1-TBar-patch1,Correct,Correct
wangicse-defects4j-Chart-11-TBar-patch1,Correct,Correct
wangicse-defects4j-Chart-12-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Chart-13-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Chart-14-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Chart-15-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Chart-24-TBar-patch1,Correct,Correct
wangicse-defects4j-Chart-25-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Chart-26-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Chart-3-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Chart-5-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Chart-7-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Chart-9-TBar-patch1,Correct,Correct
wangicse-defects4j-Closure-107-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Closure-109-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Closure-115-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Closure-12-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Closure-126-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Closure-133-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Closure-21-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Closure-22-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Closure-62-TBar-patch1,Correct,Correct
wangicse-defects4j-Closure-66-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Closure-73-TBar-patch1,Correct,Correct
wangicse-defects4j-Lang-10-TBar-patch1,Correct,Correct
wangicse-defects4j-Lang-13-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-18-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-20-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Lang-22-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Lang-24-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-27-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-33-TBar-patch1,Correct,Correct
wangicse-defects4j-Lang-39-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Lang-41-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-43-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-44-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-45-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-51-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Lang-57-TBar-patch1,Correct,Correct
wangicse-defects4j-Lang-58-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Lang-59-TBar-patch1,Correct,Correct
wangicse-defects4j-Lang-60-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Lang-63-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Lang-7-TBar-patch1,Correct,Correct
wangicse-defects4j-Math-11-TBar-patch1,Correct,Correct
wangicse-defects4j-Math-15-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Math-2-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Math-5-TBar-patch1,Correct,Correct
wangicse-defects4j-Math-50-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Math-57-TBar-patch1,Correct,Correct
wangicse-defects4j-Math-6-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Math-62-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Math-63-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Math-65-TBar-patch1,Unknown,Correct
wangicse-defects4j-Math-70-TBar-patch1,Correct,Correct
wangicse-defects4j-Math-75-TBar-patch1,Correct,Correct
wangicse-defects4j-Math-79-TBar-patch1,Correct,Correct
wangicse-defects4j-Math-8-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Math-80-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Math-81-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Math-82-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Math-84-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Math-85-TBar-patch1,Overfitting,Overfitting
wangicse-defects4j-Math-88-TBar-patch1,Unknown,Overfitting
wangicse-defects4j-Math-96-TBar-patch1,Unknown,Overfitting
